id	refs	voice	narration	image_prompt	motion_prompt
11	jaco	jaco	[sad] Esta é a túnica do meu filho! Um animal feroz o devorou! O meu querido José foi despedaçado!	Elderly Jacob (from the reference) clutching the colorful coat to his chest with deep grief and tears, head bowed, dim sorrowful tent, warm candlelight, tender emotional mood	Jacob clutches the coat to his chest and bows his head weeping softly, candlelight flickers, slow sorrowful motion
12	jose	narrator	[softly] Jacó chorou muito pelo seu filho. Mas José não tinha morrido: os mercadores o levaram para bem longe, até a terra do Egito.	Joseph (from the reference) walking with the merchant caravan of camels toward a grand distant Egyptian city with pyramids and palm trees on the horizon at sunset, hopeful but solemn mood, warm desert light	Joseph walks with the caravan toward the distant Egyptian city at sunset, camels sway, golden dust drifts, slow hopeful motion
13	jose	narrator	[warm] No Egito, José foi vendido para um homem importante. E o Senhor estava com José: tudo o que ele fazia dava certo, e todos confiavam nele.	Joseph (from the reference, now in simple Egyptian servant linen) working diligently and trustworthily in a grand Egyptian house, managing goods with a soft warm divine glow of blessing around him, warm sunlit Egyptian interior, hopeful mood	Joseph works diligently and organizes goods as a soft warm glow of blessing surrounds him, servants nod with trust, gentle warm motion
14	jose	narrator	[calm] Mais tarde, José foi acusado de algo que não fez, e acabou indo parar na prisão. Mas, mesmo ali, Deus continuou com ele, e José entendia o sentido dos sonhos das pessoas, e tudo acontecia como ele dizia.	Joseph (from the reference) inside a dim Egyptian prison cell kindly explaining the meaning of a dream to two worried fellow prisoners, a soft warm divine glow around him, torchlight, hopeful gentle mood despite the setting	Joseph gently explains a dream to the two prisoners as a soft warm glow surrounds him, torchlight flickers, calm hopeful motion
15	farao	narrator	[awe] Um tempo depois, o Faraó, o rei do Egito, teve dois sonhos muito estranhos, e ninguém no reino sabia explicar o que eles queriam dizer.	Pharaoh (from the reference) sitting up worried on his royal Egyptian bed at night after a dream, glowing dreamy visions of seven fat cows and seven thin cows floating above, ornate Egyptian palace, mysterious mood	Pharaoh sits up troubled as the dream visions of seven fat and seven thin cows shimmer above him, torchlight flickers, slow mysterious motion
16	jose,farao	narrator	[calm] Então alguém lembrou de José. Bem depressa, tiraram ele da prisão e o levaram para diante do Faraó.	Joseph (from reference image 1, freshly cleaned in fine linen) being brought before Pharaoh (from reference image 2) seated on his golden throne in a grand Egyptian palace hall with tall columns, respectful hopeful mood, warm regal light	Joseph is brought forward and stands respectfully before Pharaoh on his golden throne, courtiers watch, banners sway, slow regal motion
17	jose,farao	jose	[calm] Não sou eu, ó rei. É Deus quem vai dar ao senhor a resposta certa. Os seus dois sonhos são, na verdade, um só.	Joseph (from reference image 1) humbly and calmly speaking to Pharaoh (from reference image 2) on his throne, one hand gently over his heart, pointing upward with faith, grand golden Egyptian palace hall, warm respectful mood	Joseph speaks humbly with a hand over his heart and gestures upward, Pharaoh leans in listening, warm light, gentle calm motion
18	jose,farao	narrator	[calm] José explicou: viriam sete anos de muita fartura, e depois sete anos de muita fome. E deu um conselho sábio: guardar comida durante os anos bons.	Joseph (from reference image 1) explaining to Pharaoh (from reference image 2) with a glowing vision above showing seven years of abundant golden harvest and then seven years of dry famine, then storehouses full of grain, grand palace, clear teaching mood	A glowing vision of abundant harvest then famine then full storehouses shimmers above as Joseph explains and Pharaoh nods thoughtfully, gentle motion
19	jose,farao	farao	[warm] Será que vamos achar outro homem como este, em quem está o Espírito de Deus?	Pharaoh (from reference image 2) rising impressed from his throne and gesturing admiringly toward Joseph (from reference image 1) before the royal Egyptian court, golden light, respectful celebratory mood	Pharaoh rises impressed and gestures admiringly toward Joseph, the court nods, golden light glows, gentle warm motion
20	jose,farao	narrator	[happy] O Faraó gostou tanto de José que o colocou como governador de todo o Egito: o segundo homem mais importante de todo o reino.	Pharaoh (from reference image 2) placing a golden ring and royal collar on Joseph (from reference image 1, now dressed in fine Egyptian governor robes with gold), presenting him to a cheering court, grand palace, warm celebratory golden mood	Pharaoh places the golden ring and collar on Joseph and presents him to the cheering court, banners wave, golden light beams, warm celebratory motion
21	jose	narrator	[calm] Nos sete anos bons, José guardou muita comida nos celeiros. E, quando a fome chegou, o Egito tinha bastante para comer.	Joseph (from the reference, in Egyptian governor robes) overseeing workers filling great storehouses with mountains of golden grain during harvest, then people receiving grain during famine, warm busy prosperous mood, Egyptian storehouses	Workers pour golden grain into the great storehouses as Joseph oversees with a caring look, dust of grain drifts in warm light, gentle busy motion
22	irmaos	narrator	[softly] A fome chegou também na terra de Jacó. Então os irmãos de José foram até o Egito comprar comida, sem imaginar quem eles iriam encontrar.	The older brothers (from the reference) traveling wearily with donkeys across a dry cracked land toward the grand Egyptian city to buy food, dusty solemn mood, distant pyramids at the horizon	The brothers travel wearily with their donkeys across the dry land toward Egypt, dust drifts, slow solemn motion
23	jose,irmaos	narrator	[warm] Eles se curvaram diante do governador do Egito, sem saber que era José! Mas José reconheceu os seus irmãos na mesma hora.	The brothers (from reference image 2) bowing low before Joseph (from reference image 1) who sits as the Egyptian governor on a fine seat, Joseph recognizing them with a moved emotional look they do not notice, grand Egyptian hall, dramatic tender mood	The brothers bow low unaware while Joseph's eyes widen with emotion recognizing them, warm light, slow tender dramatic motion
24	jose,irmaos	jose	[warm] Eu sou José, o irmão de vocês! Não fiquem com medo. Vocês pensaram em fazer o mal, mas Deus transformou tudo em bem, para salvar muita gente.	Joseph (from reference image 1) revealing himself with open arms and warm tears of joy and forgiveness to his astonished brothers (from reference image 2), warm golden light filling the Egyptian hall, deeply emotional loving mood	Joseph opens his arms with tears of joy revealing himself, the brothers gasp in astonishment, warm golden light grows, slow emotional motion
25	jose,jaco,irmaos	narrator	[happy] José, cheio de alegria, abraçou os seus irmãos e os perdoou de coração. Depois mandou buscar o pai Jacó e toda a família, para viverem bem pertinho dele no Egito.	Joseph (in Egyptian governor robes) joyfully embracing his elderly father Jacob (from reference image 2) and his brothers (from reference image 3) all reunited together in a warm happy reunion in Egypt, tears of joy, golden celebratory light, heartwarming mood	Joseph, Jacob and the brothers embrace in a joyful tearful reunion, golden light shines warmly, gentle heartwarming motion
26	jose	narrator	[warm] E o que aprendemos com a história de José? Que Deus esteve com ele em cada momento, e transformou a dor em bênção. Mesmo quando a vida fica difícil, Deus cuida de nós e tem um bom plano. A glória é de Deus!	Warm gentle portrait of Joseph (from the reference) standing peacefully in warm golden light with a loving hopeful smile, hand over his heart, soft glowing rays and a serene Egyptian palace garden background, inspiring heartwarming mood	Joseph smiles warmly with his hand over his heart as golden light rays gently shimmer around him, leaves sway softly, slow inspiring heartwarming push-in
