id	refs	voice	narration	image_prompt	motion_prompt
20	-	narrator	Um a um, os animais subiram a rampa e entraram na arca, bem juntinhos e protegidos.	Pairs of cute cartoon animals walking up the wooden ramp into the big door of the ark, elephants and giraffes ducking through, rabbits hopping, warm sunlight, cozy welcoming entrance	The animal pairs walk up the ramp and into the ark door one couple at a time, the giraffe ducks its head, rabbits hop inside, warm welcoming gentle motion
21	noe,esposa	narrator	Depois, Noé, sua esposa e seus filhos também entraram na arca, prontos e confiantes.	Noah from the reference and his wife from the reference with their three sons walking together up the ramp into the ark, looking back peacefully at the world, warm golden light, hopeful trusting expressions	The family walks up the ramp into the ark, Noah pauses to look back peacefully then smiles, warm golden light, gentle hopeful motion
22	-	narrator	E foi o próprio Deus quem fechou a grande porta da arca, mantendo todos em segurança.	The big wooden door of the ark closing gently on its own surrounded by a soft warm glow of heavenly light, the ark sealed safely, sacred peaceful protective atmosphere, golden rays	The huge ark door slowly and gently closes on its own wrapped in soft golden light, the light glows warmly as it seals, sacred reverent slow motion
23	-	narrator	De repente, o céu escureceu e as primeiras gotas de chuva começaram a cair.	Dark gray storm clouds rolling across the sky above the great ark on the field, the very first big raindrops starting to fall, soft dramatic light, gentle not frightening mood	Storm clouds roll in across the sky and the first big raindrops begin to fall and splash, the light dims softly, gentle dramatic motion, not scary
24	-	narrator	Choveu muito forte, por quarenta dias e quarenta noites, sem parar um só minuto.	Heavy rain pouring from dark clouds over the great wooden ark floating on rising water, sheets of rain and splashes, the sturdy ark holding strong, dramatic but gentle cartoon storm, soft blue tones	Heavy rain pours down over the ark, water splashes and ripples all around, the ark rocks gently but stays strong, lightning glows softly far away, dramatic gentle motion
25	-	narrator	A água subiu tão alto que cobriu até as montanhas mais altas, mas a arca continuava firme e segura.	Aerial view of an endless ocean covering everything with only the tops of the tallest mountains barely visible, the small sturdy wooden ark floating safely on the vast water under a soft dramatic sky, gentle not frightening	Slow aerial drift over the vast endless water as the last mountaintops disappear, the little ark floats steadily and safe, soft light on the waves, calm reassuring motion
26	-	narrator	Mas a arca flutuava firme e segura sobre as águas, guardada pelas mãos de Deus.	The great wooden ark floating safely and steadily on a vast calm sea under a softening sky, a faint warm glow of protection around it, gentle waves, hopeful peaceful atmosphere	The ark floats steadily on the gentle waves, soft warm light glows around it, the sky slowly begins to clear, calm reassuring slow motion
27	noe,esposa	narrator	Lá dentro, Noé e sua família cuidavam com carinho de todos os animais, bem aconchegados.	Cozy warm interior of the ark, Noah from the reference and his wife from the reference happily feeding and petting the friendly animals, lanterns glowing, hay and wooden stalls, adorable animals resting, warm loving atmosphere	Noah and his wife gently feed and pet the cozy animals inside the ark, lanterns flicker warmly, animals nuzzle them happily, tender heartwarming motion
28	noe,esposa	narrator	Os dias passavam devagar dentro da arca, e toda noite a família agradecia a Deus à luz das lamparinas.	Cozy candlelit interior of the ark at night, Noah from the reference and his wife from the reference and their sons gathered in grateful prayer, sleepy animals resting nearby, warm glowing lanterns, peaceful tender atmosphere	The family bows together in quiet grateful prayer, lantern flames flicker warmly, the animals doze peacefully nearby, soft shadows sway, calm heartwarming slow motion
29	-	narrator	Lá fora, a água cobriu tudo, mas dentro da arca todos estavam seguros e em paz.	The ark floating peacefully on an endless calm sea that covers everything, soft gentle dawn light on the water, a serene quiet hopeful mood, the ark glowing softly	The ark drifts peacefully across the vast calm water, soft light shimmers on the gentle waves, a quiet serene slow drift, calm and hopeful
30	-	narrator	Depois de muitos dias, a chuva finalmente parou e o sol começou a aparecer de novo.	The rain stopping over the ark on the calm sea, dark clouds parting as warm golden sunlight breaks through, the ark glowing in the fresh light, a hopeful joyful new beginning	The dark clouds part and warm golden sunlight bursts through over the ark, the sea sparkles brightly, the light spreads hopefully, uplifting gentle motion
31	noe	narrator	Noé abriu uma janela e soltou um corvo, para ver se a água já tinha baixado.	Noah from the reference opening a small window of the ark and gently releasing a black raven into the bright sky over the calm sea, warm hopeful light, curious peaceful expression	Noah opens the ark window and gently releases the raven, the bird flaps away into the bright sky, Noah watches hopefully, soft warm motion
32	noe	narrator	Depois soltou uma pombinha branca, mas ela voltou, pois não achou onde pousar.	Noah from the reference at the ark window gently holding a returning white dove that lands on his hand, the vast water still covering everything outside, warm soft light, tender gentle mood	The white dove flies back and lands softly on Noah's outstretched hand, he cups it gently and smiles kindly, warm soft light, tender slow motion
33	noe	narrator	Sete dias depois, soltou a pomba outra vez, e ela voltou com um raminho de oliveira no bico!	Noah from the reference smiling joyfully as a white dove returns carrying a fresh green olive branch in its beak at the ark window, bright warm sunlight, hopeful happy moment, the sea lower outside	The white dove flies back carrying a green olive branch and lands by Noah, he gasps with a joyful smile, warm sunlight glows, happy hopeful motion
34	noe	narrator	Cheios de esperança, todos na arca souberam que em breve poderiam pisar em terra firme de novo.	Noah from the reference smiling hopefully holding the green olive branch, showing it to his happy family inside the ark, warm sunlight streaming through the open window, animals perking up joyfully, hopeful bright mood	Noah holds up the olive branch and his family gathers around smiling with hope, warm light streams in through the window, the animals stir happily, joyful uplifting motion
35	-	narrator	As águas baixaram aos poucos, e a arca pousou suavemente no topo de uma grande montanha.	The great wooden ark resting gently on top of a green mountain as the waters recede revealing land below, fresh wet hills and valleys appearing, warm sunny sky, hopeful new world	The waters slowly recede revealing fresh green land as the ark settles gently on the mountaintop, sunlight spreads over the new world, hopeful uplifting motion
36	noe,esposa	narrator	Então a porta se abriu, e todos saíram felizes: a família e os animais correndo livres pela terra.	The big ark door open with Noah from the reference and his wife from the reference and the family stepping out joyfully as happy cartoon animals run and leap freely onto the fresh green land, bright sunny sky, celebration	The animals joyfully run and leap out of the ark onto the green land, the family steps out with arms raised happily, birds fly free, sunny celebratory lively motion
37	noe	narrator	Noé agradeceu a Deus de todo o coração, construindo um altar para louvar seu amor e cuidado.	Noah from the reference kneeling in gratitude before a simple stone altar on the green mountain, hands raised in thankful prayer toward a warm glowing sky, his family behind him, sacred peaceful golden light	Noah kneels and raises his hands in grateful prayer, warm golden light shines down from the sky, his family bows behind him, sacred peaceful slow motion
38	noe	narrator	E Deus colocou um lindo arco-íris no céu, prometendo nunca mais cobrir a Terra com um dilúvio assim.	A magnificent colorful rainbow arching across the bright sky over the green new world, Noah from the reference and his family looking up in wonder and joy, animals around them, radiant hopeful warm light	A glowing colorful rainbow slowly arches across the sky, Noah and his family look up in awe and joy, light sparkles fall softly, animals gather around, joyful uplifting motion
39	noe,esposa	narrator	Deus abençoou Noé e sua família, e os animais se espalharam para encher de vida o mundo novinho.	Noah from the reference and his wife from the reference standing happily on the green mountain as cute cartoon animals spread out joyfully across the fresh renewed land below, rainbow in the sky, abundant life, warm radiant hopeful scene	The animals happily spread out across the green land below, Noah and his wife smile and gesture in blessing, the rainbow glows, birds fill the sky, warm joyful expansive motion
40	-	narrator	E assim aprendemos: quando confiamos e obedecemos a Deus, Ele sempre cuida de nós com amor.	A beautiful peaceful closing scene of the green renewed world under the rainbow at golden hour, the ark on the mountain, happy animals and Noah's tiny family below, a warm hopeful glowing sky	Slow cinematic zoom out from Noah's family revealing the whole renewed world under the glowing rainbow, animals roaming, warm golden light, peaceful uplifting closing motion
