id	refs	voice	narration	image_prompt	motion_prompt
11	eva,serpente	serpente	[whispering] Foi Deus mesmo que disse que vocês não podem comer de nenhuma árvore do jardim?	The cunning serpent (from reference image 2) whispering slyly to Eve (from reference image 1) from a tree branch, leaning close with a deceptive smile, Eve listening with a curious uncertain face, the special fruit tree behind them, sly tense mood	The serpent leans close whispering with a deceptive smile, Eve listens with an uncertain face, leaves sway, slow sly tense motion
12	eva,serpente	eva	[calm] Podemos comer das árvores. Só não podemos comer nem tocar na árvore do meio do jardim, senão nós morremos.	Eve (from reference image 1) answering the serpent (from reference image 2), gesturing toward the fruit tree in the middle of the garden, a gentle uncertain expression, the sly serpent listening on the branch, garden setting	Eve gestures toward the fruit tree as she answers, the sly serpent watches, leaves sway, gentle uncertain motion
13	eva,serpente	serpente	[whispering] Vocês não vão morrer, não! Deus sabe que, no dia em que comerem, vão ficar sábios, como Ele.	The cunning serpent (from reference image 2) tempting Eve (from reference image 1) with a sly convincing smile, pointing its head toward the glowing tempting fruit, Eve tempted and hesitating, dramatic sly lighting, tense mood	The serpent tempts Eve pointing toward the glowing fruit with a sly grin, Eve hesitates and leans in tempted, dramatic sly slow motion
14	adao,eva	narrator	[softly] Mas a serpente estava enganando; não era verdade. Eva achou a fruta bonita, colheu e comeu; e deu também a Adão, que estava com ela, e ele comeu.	Eve (from reference image 1) taking a fruit from the tree and Adam (from reference image 2) beside her also holding a fruit, both about to eat, a subtle shadow of regret in the warm garden light, the serpent slipping away in the background	Eve takes the fruit and Adam holds one too, both slowly about to eat, the serpent slips away, light dims slightly, slow regretful motion
15	adao,eva	narrator	[sad] Na mesma hora, os olhos dos dois se abriram. Perceberam que estavam sem roupa, sentiram vergonha e juntaram folhas para se cobrir.	Adam (from the reference) and Eve (from the reference) suddenly realizing and feeling ashamed, covering themselves with large leaves, looking down sad and worried, the garden light turning slightly cooler and cloudy, gentle sorrowful mood	Adam and Eve suddenly look down ashamed and cover themselves with leaves, the light turns cooler and cloudy, slow sorrowful motion
16	adao,eva	narrator	[softly] Quando ouviram a voz de Deus andando pelo jardim, Adão e Eva ficaram com medo e se esconderam entre as árvores.	Adam (from the reference) and Eve (from the reference) hiding fearfully behind big trees and bushes in the garden as a warm divine golden light glows softly in the distance, dusk, tense worried mood, no face on the light	Adam and Eve hurry to hide fearfully behind the trees as the distant divine light glows, dusk deepens, slow tense motion
17	adao,eva	deus	[calm] Adão, onde é que você está?	A warm radiant formless divine golden light with no face glowing gently in the dim garden calling out, as Adam (from the reference) and Eve (from the reference) peek fearfully from behind the trees, solemn tender mood, no face on the light	The divine light glows gently calling out as Adam and Eve peek fearfully from behind the trees, solemn tender slow motion
18	adao,eva	narrator	[softly] Adão contou que teve medo e se escondeu. E cada um pôs a culpa em outro: Adão na mulher, e Eva na serpente, que a tinha enganado.	Adam (from the reference) and Eve (from the reference) standing with heads lowered in shame before a warm divine golden light, Adam gesturing toward Eve and Eve gesturing toward the serpent, sorrowful honest mood, dim garden, no face on the light	Adam lowers his head and gestures toward Eve, Eve gestures toward the serpent, both ashamed before the light, slow sorrowful motion
19	serpente	deus	[calm] Porque você fez isso, serpente enganadora, é maldita entre todos os animais. Você vai rastejar sobre o seu ventre todos os dias da sua vida.	A warm but solemn divine golden light with no face facing the cunning serpent (from the reference) which lowers itself toward the ground to crawl, solemn judgment mood, dim garden, no face on the light	The solemn divine light faces the serpent which lowers and begins to crawl along the ground, solemn slow motion
20	-	narrator	[awe] Mas ali mesmo Deus fez uma promessa cheia de esperança: um dia nasceria Alguém que iria esmagar a cabeça da serpente e vencer o mal para sempre.	A beautiful hopeful beam of warm golden divine light breaking through soft clouds over the garden, a small distant glowing star of hope on the horizon, symbolic of a promise of a future Savior, awe-inspiring sacred hopeful mood, no people, no face, no text	A hopeful beam of golden light breaks through the clouds and a distant star of hope gently shimmers, warm glow grows, slow awe-inspiring motion
21	adao,eva	narrator	[calm] Deus disse também que, a partir daquele dia, a vida teria dor e trabalho difícil; a terra daria espinhos, e com muito esforço eles iriam plantar o seu alimento.	Adam (from the reference) and Eve (from the reference) looking humbly toward a harder land beyond the garden with thorny bushes and rocky soil, a cloudy sky, solemn but gentle mood, the consequence of their choice	Adam and Eve look humbly toward the harder thorny land beyond the garden, clouds drift, wind moves the bushes, slow solemn motion
22	adao,eva	narrator	[warm] Mesmo assim, Deus cuidou de Adão e Eva: fez roupas de pele e os vestiu com as suas próprias mãos.	A warm divine golden light with no face gently giving Adam (from the reference) and Eve (from the reference) simple garments of animal skin, dressing them with care, tender merciful mood, dim garden, no face on the light	The gentle divine light carefully places simple garments on Adam and Eve, dressing them with care, warm tender slow motion
23	adao,eva	narrator	[softly] Então o Senhor tirou Adão e Eva do jardim do Éden. E, na entrada, colocou um anjo com uma espada de fogo, para guardar o caminho da árvore da vida.	Adam (from the reference) and Eve (from the reference) walking sadly out of the Garden of Eden gate while a gentle radiant angel with large soft white wings holds a glowing flaming sword guarding the entrance, solemn bittersweet mood, warm sunset light	Adam and Eve walk slowly and sadly out of the garden gate as the angel holds the flaming sword aloft guarding the entrance, sunset glows, slow bittersweet motion
24	adao,eva	narrator	[warm] E o que aprendemos com essa história? Que Deus ama muito você, e que a nossa parte é confiar e obedecer a Ele.	Warm gentle portrait of Adam (from the reference) and Eve (from the reference) together looking hopeful toward a soft golden light, tender loving mood, soft glowing garden background, inspiring heartwarming	Adam and Eve look hopefully toward the soft golden light together, gentle glow shimmers, leaves sway, slow heartwarming push-in
25	adao,eva	narrator	[warm] E mesmo quando a gente erra, Deus não desiste de nós. Ali no jardim, Ele já tinha um plano lindo para nos salvar. A vitória é de Deus!	Adam (from the reference) and Eve (from the reference) standing together in warm golden light with gentle hopeful smiles, a soft radiant glow of hope around them, inspiring heartwarming peaceful mood, soft garden background	Adam and Eve smile hopefully in the warm golden light, a soft glow of hope shimmers around them, slow inspiring heartwarming push-in
