id	refs	voice	narration	image_prompt	motion_prompt
11	daniel,oficiais	narrator	Eles começaram a vigiar Daniel por todos os lados, tentando achar algum errinho para poder acusá-lo diante do rei.	The two jealous officials (from the reference) secretly spying around corners on Daniel (from the reference) as he kindly helps people in the palace, Daniel calm and honest in warm light, the officials in cool suspicious shadow	The officials peek and snoop around corners watching Daniel, who works kindly in warm light, they frown finding nothing, gentle suspenseful motion
12	oficiais	narrator	Mas, por mais que procurassem, não achavam nada. Daniel era honesto e fiel em tudo o que fazia.	The two jealous officials (from the reference) scratching their heads in frustration, holding empty scrolls and a magnifying glass, confused and annoyed, cool scheming lighting, cartoonish family-friendly mood	The officials scratch their heads and shrug in frustration, peering through a magnifying glass at empty scrolls, slow comedic scheming motion
13	oficiais	narrator	Aí eles perceberam: a única forma de pegar Daniel seria por causa da sua grande fé no Deus dele.	The two jealous officials (from the reference) with a sudden sly realization, a glowing thought-image of Daniel kneeling in prayer floating above them, cool scheming lighting, cartoonish family-friendly mood	The officials suddenly grin with a sly idea, the glowing thought-bubble of praying Daniel shimmers above them, slow scheming motion
14	oficiais	narrator	Então os homens invejosos se juntaram, deram um sorriso cheio de maldade e armaram um plano bem esperto.	The two jealous officials (from the reference) huddled together with sly grins and a rolled scheme scroll, a cartoonish lightbulb above them, cool shadowy palace corner, family-friendly villain mood	The two officials huddle and grin slyly, unrolling their scheme scroll, a cartoon lightbulb flickers above them, gentle mischievous motion
15	rei,oficiais	narrator	Foram correndo até o rei e, com muita bajulação, disseram que tinham uma ideia maravilhosa para ele.	The two jealous officials (from the reference) bowing low and flattering King Darius (from the reference) on his throne with exaggerated smiles and open arms, the king listening curiously, ornate palace hall, warm-cool contrast	The officials bow low and flatter the king with sweeping gestures, the king leans in curiously, banners sway, gentle tense motion
16	rei,oficiais	narrator	Ó rei, faça uma lei! Por trinta dias, ninguém pode orar a nenhum deus nem a ninguém, só ao senhor!	The two jealous officials (from the reference) presenting a royal decree scroll to King Darius (from the reference) on his throne with sly smiles, pointing to the writing, the king considering it, ornate palace hall	The officials present the decree scroll and point to the writing, the king studies it thoughtfully, banners sway, gentle tense motion
17	rei	narrator	O rei gostou da ideia e assinou a lei, sem saber que tudo aquilo era uma armadilha contra Daniel.	King Darius (from the reference) signing a royal decree with a golden pen and pressing his royal seal, looking confident and unaware, ornate palace hall with warm light, a faint ominous shadow hinting at a trap	The king presses his golden seal onto the decree, the document glows faintly, a subtle shadow creeps in at the edges, slow ominous-but-gentle motion
18	daniel	narrator	Bem rápido, a notícia se espalhou e Daniel ficou sabendo da nova lei. E agora? O que ele iria fazer?	Daniel (from the reference) in a city street reading a posted royal decree on a wall, a thoughtful concerned but calm expression, townspeople murmuring nearby, soft daylight, gentle tension	Daniel reads the posted decree thoughtfully, townspeople murmur and glance, his robe sways in a soft breeze, slow contemplative push-in
19	daniel	daniel	Eu vou continuar orando ao meu Deus, como sempre fiz todos os dias. Ele nunca, nunca me abandonou.	Close determined warm portrait of Daniel (from the reference) with a brave peaceful expression, hand over his heart, looking upward with faith, soft golden light surrounding him	Daniel lifts his eyes upward with brave peaceful faith, hand on his heart, warm light gently glows around him, slow uplifting push-in
20	daniel	narrator	Então Daniel foi para a sua casa, abriu a janela em direção a Jerusalém e se ajoelhou no chão.	Daniel (from the reference) opening the shutters of his window toward Jerusalem and kneeling to pray in his home, warm sunlight streaming in, the distant city glowing softly on the horizon, serene devoted mood	Daniel opens the window shutters and kneels to pray, warm sunlight pours over him, curtains sway gently, distant city glows, slow sacred motion
21	daniel	narrator	Com muita calma e coragem, ele começou a orar a Deus, sem nenhum medo daquela lei feita pelos homens.	Daniel (from the reference) kneeling peacefully in prayer by his open window, hands together and eyes closed, brave calm expression, warm golden light pouring over him, serene sacred mood	Daniel kneels and prays calmly with closed eyes, warm light glows over him, curtains sway gently, a soft sacred glow grows, slow tender motion
22	daniel,oficiais	narrator	Mas os homens invejosos estavam escondidos, espiando pela porta. Quando viram Daniel orando, gritaram: achamos, pegamos ele!	Daniel (from the reference) kneeling calmly in prayer by his window while the two jealous officials (from the reference) peek through the doorway pointing with triumphant grins, warm light on Daniel, cool sly tone on the officials	Daniel prays calmly while the two officials peek through the doorway and point with triumphant grins, light contrast shifts, gentle tense motion
23	rei,oficiais	narrator	Na mesma hora, eles correram até o rei para acusar Daniel de ter desobedecido à lei real.	The two jealous officials (from the reference) rushing into the throne room pointing accusingly while King Darius (from the reference) listens with a shocked worried face, ornate palace hall, dramatic but family-friendly mood	The officials burst in pointing and accusing, the king's face turns shocked and worried, banners sway, slightly dramatic gentle motion
24	rei	narrator	Quando o rei entendeu tudo, ficou muito triste, porque amava Daniel, e tentou o dia inteiro um jeito de salvá-lo.	King Darius (from the reference) on his throne with a deeply sad distressed expression, hand on his forehead, trying to think of a way to help, dim warm palace light, sorrowful gentle mood	The king holds his forehead in distress, looking for a solution, light dims softly, his cloak shifts, slow sorrowful push-in
25	rei,oficiais	narrator	Mas os homens insistiram e lembraram: a lei não pode ser mudada, ó rei! E o coração do rei doeu de tristeza.	The two jealous officials (from the reference) coldly holding up the unchangeable royal decree before the heartbroken King Darius (from the reference), the king clutching his chest in sorrow, dim dramatic warm-cool palace light	The officials hold up the decree firmly, the king clutches his chest in sorrow and lowers his head, shadows deepen gently, slow heavy motion
26	daniel,rei	rei	Daniel, que o seu Deus, a quem você serve sem parar todos os dias, possa te livrar e te salvar!	King Darius (from the reference) gently and tearfully placing a hand on Daniel's (from the reference) shoulder at the edge of a stone lions' den at dusk, both with brave sad expressions, torchlight glow, emotional family-friendly mood	The king places a trembling hand on Daniel's shoulder with teary eyes, torchlight flickers, Daniel stands calm and brave, slow emotional push-in
27	daniel	narrator	Com lágrimas nos olhos, o rei mandou colocar Daniel dentro da cova dos leões e fechou a entrada com uma pedra enorme.	Daniel (from the reference) being gently lowered into a deep stone lions' den at dusk while soldiers roll a large round stone to seal the entrance, the king watching tearfully, torchlight, dramatic but gentle family-friendly mood	Soldiers roll the great stone toward the den entrance as Daniel is lowered, torches flicker, the king watches with tears, slow dramatic gentle motion
28	daniel	narrator	Lá no fundo da cova escura, havia enormes leões, que rugiam bem alto ao redor de Daniel.	Daniel (from the reference) standing calm inside a dark stone den surrounded by several large fluffy lions with big soft eyes, the lions looking cute-menacing and roaring softly, faint moonlight from above, gentle family-friendly tension	The large fluffy lions pace and softly roar around Daniel, who stands calm, dust drifts in faint moonlight, slow gentle suspense motion
29	daniel	narrator	Mas Daniel não tremeu de medo. Ele fechou os olhos e confiou que Deus tomaria conta dele.	Daniel (from the reference) standing calm and peaceful with closed eyes and hands over his heart in the dark stone den, the large lions around him quieting, a faint warm glow beginning to form, gentle hopeful mood	Daniel closes his eyes and stands peacefully with hands on his heart, the lions begin to quiet, a faint warm glow flickers, slow calming motion
30	daniel,anjo	narrator	E de repente, uma linda luz dourada brilhou no escuro: Deus tinha enviado o seu anjo para dentro da cova!	A radiant glowing angel (from the reference) descending into the dark stone lions' den in a beam of golden light, gently reaching toward Daniel (from the reference) who looks up with hope, the lions backing away in awe, warm sacred glow	A beam of golden light breaks into the den and the glowing angel descends, Daniel looks up with hope, the lions calm and lower their heads, slow sacred motion
31	daniel,anjo	narrator	O anjo de Deus ficou ali, bem ao lado de Daniel. Que cuidado lindo do Senhor!	The radiant angel (from the reference) standing gently beside Daniel (from the reference) in the den with a reassuring hand raised, warm golden glow filling the den, the lions calm around them, serene comforting mood	The angel gently raises a reassuring hand beside Daniel, warm golden glow fills the den, the calm lions watch quietly, slow comforting motion
32	daniel,anjo	narrator	E o anjo fechou a boca de todos os leões, para que não fizessem mal nenhum a Daniel.	The radiant angel (from the reference) gently raising his hand as the lions grow calm and close their mouths while Daniel (from the reference) watches peacefully, warm golden glow filling the den, the lions becoming calm and gentle, serene miraculous mood	The angel gently calms the lions and closes their mouths one by one, a warm golden glow fills the den, Daniel watches peacefully, slow tender miraculous motion
33	daniel	narrator	Os leões ficaram mansos como gatinhos, e Daniel descansou em paz ao lado deles a noite inteira.	Daniel (from the reference) resting peacefully and safely against a big gentle sleeping lion in the den, the other fluffy lions lying calmly around him like kittens, soft warm moonlit glow, cozy heartwarming mood	Daniel rests peacefully against the gentle sleeping lion, the calm lions breathe softly around him, warm glow shimmers, slow cozy heartwarming motion
34	rei	narrator	Enquanto isso, lá no palácio, o rei não conseguia dormir de jeito nenhum, preocupado com o seu querido amigo.	King Darius (from the reference) pacing worriedly in his dim palace bedroom at night, unable to sleep, hands clasped in concern, moonlight through the window, sorrowful anxious mood	The king paces back and forth unable to sleep, clasping his hands in worry, moonlight and candle flicker, curtains sway, slow anxious motion
35	rei	narrator	Ele passou a noite toda sem comer e sem nenhuma festa, só pensando e torcendo para Daniel estar bem.	King Darius (from the reference) sitting alone and sleepless on the edge of his bed at night, head bowed in worry, an untouched plate of food beside him, dim moonlight, quiet sorrowful mood	The king sits alone with bowed head beside an untouched plate, a single candle flickers, moonlight drifts through the window, slow somber motion
36	rei	narrator	Assim que o sol nasceu, o rei pulou da cama e correu até a cova, gritando bem aflito.	King Darius (from the reference) running anxiously to the stone lions' den at sunrise and calling out, hopeful and worried, soft golden dawn light, mist on the ground, emotional family-friendly mood	The king runs to the den at dawn and calls out anxiously, mist drifts along the ground, golden sunrise light grows, robes flowing, slow hopeful motion
37	daniel	daniel	Ó rei, viva para sempre! O meu Deus enviou o seu anjo e fechou a boca dos leões!	Daniel (from the reference) looking up joyfully from inside the den toward the light above, gentle calm lions behind him, calling out happily, warm golden dawn light pouring down, joyful relieved mood	Daniel looks up joyfully and calls out, golden dawn light pours over him, the calm lions rest behind him, light grows warmer, slow joyful motion
38	daniel,rei	narrator	O rei quase pulou de tanta alegria! Tiraram Daniel da cova e não havia nem um arranhãozinho nele.	King Darius (from the reference) joyfully helping pull Daniel (from the reference) up out of the lions' den into bright morning light, both laughing with relief and embracing, a crowd celebrating, warm golden joyful mood	The king joyfully pulls Daniel up out of the den and they embrace, the crowd cheers, golden morning light shines, banners wave, warm celebratory motion
39	rei	narrator	Então o rei mandou um aviso para todo o reino: que todos respeitassem e amassem o grande Deus de Daniel.	King Darius (from the reference) standing before a cheering crowd proclaiming a royal decree to honor God, one arm raised to the bright sky, golden sunlight, joyful reverent celebratory atmosphere	The king raises his arm and proclaims to the cheering crowd, banners wave, golden light beams from the sky, people rejoice, warm uplifting motion
40	daniel	narrator	E foi assim que Daniel nos ensinou: seja corajoso e fiel a Deus, porque Ele sempre cuida de quem confia Nele.	Daniel (from the reference) standing peacefully in warm golden light with a gentle loving smile, hands over his heart, looking toward the viewer, soft glowing rays and a serene palace garden background, inspiring heartwarming mood	Daniel smiles warmly with his hands over his heart, golden light rays gently shimmer around him, leaves sway softly, slow inspiring heartwarming push-in
